End Station,End Latitude,End Longitude,Total Trips Ended
Clay Ave & Claremont Pkwy,40.83999,-73.90549,212
Clay Ave & E 173 St,40.843264,-73.904867,551
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,6278
Clermont Ave & Park Ave,40.69573398,-73.97129668,4809
Cleveland Pl & Spring St,40.72210379,-73.99724901,56342
Cliff St & Fulton St,40.70838,-74.00495,20729
Clinton Ave & Flushing Ave,40.69794,-73.96986848,5669
Clinton Ave & Myrtle Ave,40.693261,-73.968896,10838
Clinton St & 4 Place,40.6783563,-74.00014502,6220
Clinton St & Centre St,40.67434,-74.00194698,1993
Clinton St & Grand St,40.71559509,-73.9870295,37944
Clinton St & Joralemon St,40.69239502,-73.99337909,12857
Clinton St & Tillary St,40.69623297,-73.99142057,685
Clinton St & Union St,40.6831164,-73.99785267,7291
Coffey St & Conover St,40.677236,-74.015665,5070
College Ave & E 170 St,40.837576,-73.910489,488
Columbia Heights & Cranberry St,40.70037867,-73.99548059,6956
Columbia St & Degraw St,40.6859296,-74.00242364,8226
Columbia St & Kane St,40.68763155,-74.0016256,6745
Columbia St & Lorraine St,40.6747055,-74.0075572,1341
Columbia St & Rivington St,40.71739973,-73.98016555,13833
Columbia St & W 9 St,40.6769993,-74.00647134,1806
Columbus Ave & W 103 St,40.7969347,-73.96434123,3654
Columbus Ave & W 72 St,40.7770575,-73.97898475,35958
Columbus Ave & W 95 St,40.7919557,-73.968087,26349
Columbus Dr at Exchange Pl,40.71687,-74.03281,4
Columbus Drive,40.7183552,-74.03891444,3
Commerce St & Van Brunt St,40.6812117,-74.00860912,3183
Concord St & Bridge St,40.69766564,-73.98476437,7675
Concourse Village East & E 158 St,40.823732,-73.919379,362
Concourse Village West & E 156 St,40.823162,-73.923267,329
Congress St & Clinton St,40.6881529,-73.99520919,10621
Convent Ave & W 135 St,40.818215,-73.950988,891
Convent Ave & W 151 St,40.82831,-73.942924,518
Cooper Square & Astor Pl,40.72951496,-73.9907527,44469
Court St & Nelson St,40.6763947,-73.99869893,5822
Court St & State St,40.6902375,-73.99203074,15772
Courtlandt Ave & E 149 St,40.816402,-73.919549,883
Courtlandt Ave & E 157 St,40.822267,-73.916792,317
Crescent St & 30 Ave,40.768692,-73.9249574,5579
Crescent St & 34 Ave,40.76108,-73.930562,4507
Crescent St & 35 Ave,40.7596276,-73.9321455,3049
Crescent St & Broadway,40.7633589,-73.9286471,7622
Crescent St & Ditmars Blvd,40.7787185,-73.9145645,3726
Crotona Park East & E 173 St,40.837037,-73.890413,22
